ABCG5,c.37,95.5,P-loop containing nucleoside triphosphate hydrolases 
ABCG8,c.37,89.3,P-loop containing nucleoside triphosphate hydrolases 
ABHD10,c.69,99.4,alpha_beta-Hydrolases 
ABHD11--WBSCR21--PP1226,c.69,99.9,alpha_beta-Hydrolases 
ABHD12B--C14orf29,c.69,97.4,alpha_beta-Hydrolases 
ABHD12--C20orf22,c.69,99.5,alpha_beta-Hydrolases 
ABHD13--C13orf6,c.69,99.5,alpha_beta-Hydrolases 
ABHD14B--CIB,c.69,99.5,alpha_beta-Hydrolases 
ABHD16A--BAT5--G5--NG26--PP199,c.69,90.5,alpha_beta-Hydrolases 
ABHD16B--C20orf135,c.69,97.1,alpha_beta-Hydrolases 
ABHD17A--C19orf27--FAM108A1,c.69,98.8,alpha_beta-Hydrolases 
ABHD17B--C9orf77--FAM108B1--CGI-67,c.69,99.4,alpha_beta-Hydrolases 
ABHD17C--FAM108C1,c.69,98.1,alpha_beta-Hydrolases 
ABHD17C--FAM108C1,c.108,82.2,HAD-like 
ABHD18--C4orf29,c.69,92.7,alpha_beta-Hydrolases 
ABHD1--LABH1,c.69,83.8,alpha_beta-Hydrolases 
ABHD2--LABH2,c.69,97.0,alpha_beta-Hydrolases 
ABHD3,c.69,80.1,alpha_beta-Hydrolases 
ABHD4,c.69,96.6,alpha_beta-Hydrolases 
ABHD5--NCIE2--CGI-58,c.69,99.9,alpha_beta-Hydrolases 
ABHD6,c.69,99.0,alpha_beta-Hydrolases 
ABHD8,c.69,98.5,alpha_beta-Hydrolases 
ABI1--SSH3BP1,b.34,97.3,SH3-like barrel 
ABI2--ARGBPIA,b.34,97.7,SH3-like barrel 
ABI3BP--NESHBP--TARSH,b.1,95.0,Immunoglobulin-like beta-sandwich 
ABI3--NESH,b.34,93.8,SH3-like barrel 
ABL1--ABL--JTK7,d.144,99.7,Protein kinase-like (PK-like) 
ABL1--ABL--JTK7,b.34,98.6,SH3-like barrel 
ABL1--ABL--JTK7,d.93,98.6,SH2-like 
ABL2--ABLL--ARG,d.144,99.7,Protein kinase-like (PK-like) 
ABL2--ABLL--ARG,b.34,98.5,SH3-like barrel 
ABL2--ABLL--ARG,d.93,98.8,SH2-like 
ABLIM1--ABLIM--KIAA0059--LIMAB1,g.39,95.0,Glucocorticoid receptor-like (DNA-binding domain) 
ABLIM1--ABLIM--KIAA0059--LIMAB1,a.14,98.1,VHP- Villin headpiece domain 
ABLIM2--KIAA1808,a.14,98.7,VHP- Villin headpiece domain 
ABLIM2--KIAA1808,g.39,93.6,Glucocorticoid receptor-like (DNA-binding domain) 
ABLIM3--KIAA0843--HMFN1661,a.14,98.4,VHP- Villin headpiece domain 
ABLIM3--KIAA0843--HMFN1661,g.39,80.5,Glucocorticoid receptor-like (DNA-binding domain) 
ABO,c.68,100.0,Nucleotide-diphospho-sugar transferases 
ABR,b.55,82.8,PH domain-like barrel 
ABR,b.7,94.6,C2 domain-like 
ABR,a.116,99.9,GTPase activation domain- GAP 
ABR,a.87,99.4,DBL homology domain (DH-domain) 
ABT1,d.58,81.6,Ferredoxin-like 
ABTB1--BPOZ--PP2259,a.118,97.0,alpha-alpha  uperhelix 
ABTB1--BPOZ--PP2259,d.42,98.8,POZ domain 
ABTB1--BPOZ--PP2259,d.211,96.5,beta-hairpin-alpha-hairpin repeat 
ABTB2,d.42,87.4,POZ domain 
ABTB2,a.22,97.4,Histone-fold 
ABTB2,a.118,99.2,alpha-alpha  uperhelix 
ABTB2,d.211,98.3,beta-hairpin-alpha-hairpin repeat 
ACAA1--ACAA--PTHIO,c.95,85.9,Thiolase-like 
ACAA2,c.95,80.3,Thiolase-like 
ACACA--ACAC--ACC1--ACCA,d.142,99.1,ATP-grasp 
ACACA--ACAC--ACC1--ACCA,c.30,99.6,PreATP-grasp domain 
ACACA--ACAC--ACC1--ACCA,b.84,99.4,Barrel-sandwich hybrid 
ACACA--ACAC--ACC1--ACCA,c.14,81.0,ClpP_crotonase 
ACACB--ACC2--ACCB,d.142,88.0,ATP-grasp 
ACACB--ACC2--ACCB,c.14,80.3,ClpP_crotonase 
ACACB--ACC2--ACCB,b.84,99.4,Barrel-sandwich hybrid 
ACACB--ACC2--ACCB,c.30,99.6,PreATP-grasp domain 
ACAD10,c.108,96.9,HAD-like 
ACAD10,d.144,95.5,Protein kinase-like (PK-like) 
ACAD10,e.6,99.5,Acyl-CoA dehydrogenase NM domain-like 
ACAD10,a.29,99.2,Bromodomain-like 
ACAD11,a.29,99.1,Bromodomain-like 
ACAD11,e.6,99.6,Acyl-CoA dehydrogenase NM domain-like 
ACAD11,d.144,99.3,Protein kinase-like (PK-like) 
ACAD8--ARC42--IBD,a.29,99.8,Bromodomain-like 
ACAD8--ARC42--IBD,e.6,99.9,Acyl-CoA dehydrogenase NM domain-like 
ACAD9,e.6,99.9,Acyl-CoA dehydrogenase NM domain-like 
ACAD9,a.29,99.8,Bromodomain-like 
ACADL,e.6,99.9,Acyl-CoA dehydrogenase NM domain-like 
ACADL,a.29,99.7,Bromodomain-like 
ACADM,a.29,99.8,Bromodomain-like 
ACADM,e.6,99.8,Acyl-CoA dehydrogenase NM domain-like 
ACADS,a.29,99.9,Bromodomain-like 
ACADS,e.6,99.9,Acyl-CoA dehydrogenase NM domain-like 
ACADSB,e.6,99.9,Acyl-CoA dehydrogenase NM domain-like 
ACADSB,a.29,99.9,Bromodomain-like 
ACADVL--VLCAD,a.29,99.8,Bromodomain-like 
ACADVL--VLCAD,e.6,99.9,Acyl-CoA dehydrogenase NM domain-like 
ACAN--AGC1--CSPG1--MSK16,g.3,96.0,Knottins (small inhibitors- toxins- lectins) 
ACAN--AGC1--CSPG1--MSK16,d.169,99.6,C-type lectin-like 
ACAN--AGC1--CSPG1--MSK16,b.1,95.9,Immunoglobulin-like beta-sandwich 
ACAN--AGC1--CSPG1--MSK16,g.18,96.6,Complement control module_SCR domain 
ACAP1--CENTB1--KIAA0050,d.211,97.5,beta-hairpin-alpha-hairpin repeat 
ACAP1--CENTB1--KIAA0050,g.45,100.0,ArfGap_RecO-like zinc finger 
ACAP1--CENTB1--KIAA0050,b.55,98.3,PH domain-like barrel 
ACAP1--CENTB1--KIAA0050,a.238,96.8,BAR_IMD domain-like 
ACAP1--CENTB1--KIAA0050,a.118,98.1,alpha-alpha  uperhelix 
ACAP2--CENTB2--KIAA0041,d.211,98.1,beta-hairpin-alpha-hairpin repeat 
ACAP2--CENTB2--KIAA0041,a.118,98.2,alpha-alpha  uperhelix 
ACAP2--CENTB2--KIAA0041,a.238,98.8,BAR_IMD domain-like 
ACAP2--CENTB2--KIAA0041,b.55,98.7,PH domain-like barrel 
ACAP2--CENTB2--KIAA0041,g.45,82.0,ArfGap_RecO-like zinc finger 
ACAP3--CENTB5--KIAA1716,g.45,100.0,ArfGap_RecO-like zinc finger 
ACAP3--CENTB5--KIAA1716,b.55,84.9,PH domain-like barrel 
ACAP3--CENTB5--KIAA1716,a.238,99.6,BAR_IMD domain-like 
ACAP3--CENTB5--KIAA1716,a.118,97.8,alpha-alpha  uperhelix 
ACAP3--CENTB5--KIAA1716,d.211,97.7,beta-hairpin-alpha-hairpin repeat 
ACAT1--ACAT--MAT,c.95,80.8,Thiolase-like 
ACAT2--ACTL,c.95,92.3,Thiolase-like 
ACAT2--ACTL,c.55,88.9,Ribonuclease H-like motif 
ACBD3--GCP60--GOCAP1--GOLPH1,a.11,98.4,Acyl-CoA binding protein-like 
ACBD3--GCP60--GOCAP1--GOLPH1,b.132,99.8,Supernatant protein factor (SPF)- C-terminal domain 
ACBD4--HMFT0700,a.11,99.8,Acyl-CoA binding protein-like 
ACBD5--KIAA1996,a.11,99.7,Acyl-CoA binding protein-like 
ACBD6,a.11,99.8,Acyl-CoA binding protein-like 
ACBD6,a.118,99.3,alpha-alpha  uperhelix 
ACBD6,d.211,98.9,beta-hairpin-alpha-hairpin repeat 
ACBD7,a.11,99.8,Acyl-CoA binding protein-like 
ACCSL,c.67,84.2,PLP-dependent transferase-like 
ACCS--PHACS,c.67,82.1,PLP-dependent transferase-like 
ACE--DCP--DCP1,d.92,85.8,Zincin-like 
ACHE,c.69,95.2,alpha_beta-Hydrolases 
ACIN1--ACINUS--KIAA0670,d.58,80.7,Ferredoxin-like 
ACIN1--ACINUS--KIAA0670,a.140,89.9,LEM_SAP HeH motif 
ACKR2--CCBP2--CCR10--CMKBR9--D6,f.13,99.9,Family A G protein-coupled receptor-like 
ACKR3--CMKOR1--CXCR7--GPR159--RDC1,f.13,99.9,Family A G protein-coupled receptor-like 
ACKR4--CCBP2--CCR11--CCRL1--VSHK1,f.13,99.9,Family A G protein-coupled receptor-like 
ACLY,c.2,96.5,NAD(P)-binding Rossmann-fold domains 
ACLY,d.142,98.2,ATP-grasp 
ACLY,c.23,95.8,Flavodoxin-like 
ACLY,a.103,99.3,Citrate synthase 
ACMSD,c.1,92.9,TIM beta_alpha-barrel 
ACO1--IREB1,c.83,100.0,Aconitase iron-sulfur domain 
ACO1--IREB1,c.8,99.7,The "swivelling" beta_beta_alpha domain 
ACO2,c.83,100.0,Aconitase iron-sulfur domain 
ACO2,c.8,99.4,The "swivelling" beta_beta_alpha domain 
ACOT11--BFIT--KIAA0707--THEA,d.129,97.8,TBP-like 
ACOT11--BFIT--KIAA0707--THEA,d.38,99.4,Thioesterase_thiol ester dehydrase-isomerase 
ACOT12--CACH--CACH1--STARD15,d.38,85.7,Thioesterase_thiol ester dehydrase-isomerase 
ACOT12--CACH--CACH1--STARD15,d.129,81.4,TBP-like 
ACOT13--THEM2--HT012--PNAS-27,d.38,92.2,Thioesterase_thiol ester dehydrase-isomerase 
ACOT1--CTE1,c.69,90.1,alpha_beta-Hydrolases 
ACOT2--PTE2--PTE2A,c.69,87.7,alpha_beta-Hydrolases 
ACOT4--PTE2B--PTEIB,c.69,96.0,alpha_beta-Hydrolases 
ACOT6--C14orf42,c.69,92.0,alpha_beta-Hydrolases 
ACOT7--BACH,d.38,80.2,Thioesterase_thiol ester dehydrase-isomerase 
ACOT7L--BACHL,d.38,88.3,Thioesterase_thiol ester dehydrase-isomerase 
ACOT8--ACTEIII--PTE1--PTE2,d.38,99.9,Thioesterase_thiol ester dehydrase-isomerase 
ACOT9--CGI-16,d.38,98.2,Thioesterase_thiol ester dehydrase-isomerase 
ACOX1--ACOX,e.6,95.7,Acyl-CoA dehydrogenase NM domain-like 
ACOX1--ACOX,a.29,95.8,Bromodomain-like 
ACOX2,e.6,96.1,Acyl-CoA dehydrogenase NM domain-like 
ACOX2,a.29,93.5,Bromodomain-like 
ACOX3--BRCOX--PRCOX,e.6,100.0,Acyl-CoA dehydrogenase NM domain-like 
ACOX3--BRCOX--PRCOX,a.29,97.4,Bromodomain-like 
ACOXL,e.6,98.2,Acyl-CoA dehydrogenase NM domain-like 
ACOXL,a.29,98.0,Bromodomain-like 
ACP1,d.58,90.5,Ferredoxin-like 
ACP1,a.159,80.3,Another 3-helical bundle 
ACP1,c.44,99.8,Phosphotyrosine protein phosphatases I-like 
ACP2,c.60,100.0,Phosphoglycerate mutase-like 
ACP5,d.159,98.8,Metallo-dependent phosphatases 
ACP7--PAPL--PAPL1,b.1,99.3,Immunoglobulin-like beta-sandwich 
ACP7--PAPL--PAPL1,d.159,99.8,Metallo-dependent phosphatases 
ACPP,c.60,100.0,Phosphoglycerate mutase-like 
ACPT,c.60,100.0,Phosphoglycerate mutase-like 
ACR--ACRS,b.47,88.1,Trypsin-like serine proteases 
ACRV1,g.7,85.2,Snake toxin-like 
ACSBG1--BGM--KIAA0631--LPD,e.23,100.0,Acetyl-CoA synthetase-like 
ACSF3--PSEC0197,e.23,100.0,Acetyl-CoA synthetase-like 
ACSL1--FACL1--FACL2--LACS--LACS1--LACS2,e.23,100.0,Acetyl-CoA synthetase-like 
ACSL3--ACS3--FACL3--LACS3,e.23,100.0,Acetyl-CoA synthetase-like 
ACSL4--ACS4--FACL4--LACS4,e.23,100.0,Acetyl-CoA synthetase-like 
ACSL6--ACS2--FACL6--KIAA0837--LACS5,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM1--BUCS1--LAE--MACS1,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM2A--ACSM2--MACS2,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM2B--ACSM2--HYST1046,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM3--SAH,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM4,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM5--MACS3,e.23,100.0,Acetyl-CoA synthetase-like 
ACSM6--C10orf129,e.23,100.0,Acetyl-CoA synthetase-like 
ACSS1--ACAS2L--KIAA1846,e.23,100.0,Acetyl-CoA synthetase-like 
ACSS2--ACAS2,e.23,100.0,Acetyl-CoA synthetase-like 
ACSS3,e.23,100.0,Acetyl-CoA synthetase-like 
ACTA1--ACTA,c.55,93.3,Ribonuclease H-like motif 
ACTA2--ACTSA--ACTVS--GIG46,c.55,93.8,Ribonuclease H-like motif 
ACTB,c.55,84.0,Ribonuclease H-like motif 
ACTBL2,c.55,92.2,Ribonuclease H-like motif 
ACTBL2,c.52,83.1,Restriction endonuclease-like 
ACTC1--ACTC,c.55,93.8,Ribonuclease H-like motif 
ACTG1--ACTG,c.55,83.8,Ribonuclease H-like motif 
ACTG2--ACTA3--ACTL3--ACTSG,c.55,93.8,Ribonuclease H-like motif 
ACTL10--C20orf134,c.55,89.7,Ribonuclease H-like motif 
ACTL6A--BAF53--BAF53A--INO80K,c.55,99.9,Ribonuclease H-like motif 
ACTL6B--ACTL6--BAF53B,c.55,99.9,Ribonuclease H-like motif 
ACTL7A,c.55,94.3,Ribonuclease H-like motif 
ACTL7B,c.55,83.5,Ribonuclease H-like motif 
ACTL8,c.55,88.7,Ribonuclease H-like motif 
ACTL9--ACTL7C--HSD21,c.55,86.6,Ribonuclease H-like motif 
ACTN1,a.39,96.9,EF Hand-like 
ACTN1,a.40,98.7,CH domain-like 
ACTN1,a.7,97.8,Spectrin repeat-like 
ACTN2,a.39,97.1,EF Hand-like 
ACTN2,a.7,97.4,Spectrin repeat-like 
ACTN2,a.40,98.8,CH domain-like 
ACTN3,a.39,96.7,EF Hand-like 
ACTN3,a.7,97.1,Spectrin repeat-like 
ACTN3,a.40,98.8,CH domain-like 
ACTN4,a.39,96.9,EF Hand-like 
ACTN4,a.7,97.2,Spectrin repeat-like 
ACTN4,a.40,98.6,CH domain-like 
ACTR10--ACTR11--ARP11,c.55,82.5,Ribonuclease H-like motif 
ACTR1A--CTRN1,c.55,84.0,Ribonuclease H-like motif 
ACTR1B--CTRN2,c.55,95.9,Ribonuclease H-like motif 
ACTR2--ARP2,c.55,91.6,Ribonuclease H-like motif 
ACTR3--ARP3,c.55,81.1,Ribonuclease H-like motif 
ACTR3B--ARP11--ARP4,c.55,87.0,Ribonuclease H-like motif 
ACTR3C--ARP11,c.55,96.2,Ribonuclease H-like motif 
ACTR5--ARP5,c.55,88.5,Ribonuclease H-like motif 
ACTR6--CDA12,c.55,89.2,Ribonuclease H-like motif 
ACTR8--ARP8--INO80N,c.55,96.6,Ribonuclease H-like motif 
ACTRT1--ARPT1--HSD27,c.55,84.2,Ribonuclease H-like motif 
ACTRT2--ARPM2,c.55,92.2,Ribonuclease H-like motif 
ACTRT3--ARPM1,c.55,83.3,Ribonuclease H-like motif 
ACVR1--ACVRLK2,g.7,98.8,Snake toxin-like 
ACVR1--ACVRLK2,d.144,99.5,Protein kinase-like (PK-like) 
ACVR1B--ACVRLK4--ALK4,d.93,80.9,SH2-like 
ACVR1B--ACVRLK4--ALK4,g.7,98.5,Snake toxin-like 
ACVR1B--ACVRLK4--ALK4,d.144,99.6,Protein kinase-like (PK-like) 
ACVR1C--ALK7,d.144,99.5,Protein kinase-like (PK-like) 
ACVR1C--ALK7,g.7,98.5,Snake toxin-like 
ACVR2A--ACVR2,d.144,99.3,Protein kinase-like (PK-like) 
ACVR2A--ACVR2,g.7,92.5,Snake toxin-like 
ACVR2B,d.144,99.0,Protein kinase-like (PK-like) 
ACVR2B,g.7,93.6,Snake toxin-like 
ACVRL1--ACVRLK1--ALK1,d.144,99.3,Protein kinase-like (PK-like) 
ACVRL1--ACVRLK1--ALK1,g.7,93.8,Snake toxin-like 
ACY1,c.56,91.5,Phosphorylase_hydrolase-like 
ACY1,d.58,97.5,Ferredoxin-like 
ACY3--ASPA2,c.56,94.8,Phosphorylase_hydrolase-like 
ACYP1--ACYPE,d.58,99.5,Ferredoxin-like 
ACYP2--ACYP,d.58,99.5,Ferredoxin-like 
ADA--ADA1,c.1,90.6,TIM beta_alpha-barrel 
ADA--ADA1,a.3,80.7,Cytochrome c 
ADAD1--TENR,d.50,95.6,dsRBD-like 
ADAD2--TENRL,d.50,81.4,dsRBD-like 
ADAL,c.1,100.0,TIM beta_alpha-barrel 
ADAM10--KUZ--MADM,d.92,82.0,Zincin-like 
ADAM10--KUZ--MADM,g.20,93.0,Blood coagulation inhibitor (disintegrin) 
ADAM11--MDC,d.92,99.9,Zincin-like 
ADAM11--MDC,g.20,98.3,Blood coagulation inhibitor (disintegrin) 
ADAM11--MDC,g.3,83.0,Knottins (small inhibitors- toxins- lectins) 
ADAM15--MDC15,d.92,100.0,Zincin-like 
ADAM15--MDC15,g.3,92.0,Knottins (small inhibitors- toxins- lectins) 
ADAM15--MDC15,g.20,98.1,Blood coagulation inhibitor (disintegrin) 
ADAM17--CSVP--TACE,d.92,100.0,Zincin-like 
ADAM17--CSVP--TACE,g.20,95.3,Blood coagulation inhibitor (disintegrin) 
ADAM19--MLTNB--FKSG34,d.92,99.9,Zincin-like 
ADAM19--MLTNB--FKSG34,g.20,98.6,Blood coagulation inhibitor (disintegrin) 
ADAM19--MLTNB--FKSG34,g.3,89.3,Knottins (small inhibitors- toxins- lectins) 
ADAM20,d.92,100.0,Zincin-like 
ADAM20,g.20,98.8,Blood coagulation inhibitor (disintegrin) 
ADAM21,d.92,100.0,Zincin-like 
ADAM21,g.20,98.8,Blood coagulation inhibitor (disintegrin) 
ADAM22--MDC2,g.20,98.1,Blood coagulation inhibitor (disintegrin) 
ADAM22--MDC2,d.92,99.9,Zincin-like 
ADAM22--MDC2,g.3,84.6,Knottins (small inhibitors- toxins- lectins) 
ADAM23--MDC3,d.92,99.7,Zincin-like 
ADAM23--MDC3,g.3,91.7,Knottins (small inhibitors- toxins- lectins) 
ADAM23--MDC3,g.20,98.4,Blood coagulation inhibitor (disintegrin) 
